Effective To Date,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Claim Reason,Sales Channel,Vehicle Class,Vehicle Size
6,21585,92,35,61,0,1,Iowa,No,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Other,Agent,Four-Door Car,Medsize
38,23749,77,20,6,0,4,Missouri,No,Extended,Master,Medical Leave,F,Rural,Married,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
37,53607,61,4,18,0,9,Iowa,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L2,Scratch/Dent,Web,Four-Door Car,Medsize
30,0,136,20,98,3,6,Iowa,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Collision,Web,Sports Car,Medsize
13,97658,76,7,82,1,3,Missouri,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Collision,Call Center,Four-Door Car,Medsize
13,98859,70,3,57,0,1,Missouri,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Other,Web,Four-Door Car,Small
14,0,67,12,67,5,7,Nebraska,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Other,Call Center,Four-Door Car,Medsize
4,0,112,30,29,1,3,Kansas,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Hail,Agent,Two-Door Car,Medsize
58,56146,119,0,91,0,1,Iowa,No,Premium,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Other,Web,Four-Door Car,Large
52,0,102,20,7,1,2,Missouri,No,Basic,Master,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Other,Web,SUV,Medsize
28,32802,114,31,8,0,1,Iowa,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L1,Hail,Call Center,SUV,Medsize
33,70811,100,14,8,0,7,Iowa,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Sports Car,Medsize
36,28321,111,34,32,0,1,Oklahoma,No,Basic,College,Retired,F,Suburban,Single,Corporate Auto,Corporate L3,Scratch/Dent,Branch,SUV,Medsize
30,40516,70,21,31,0,1,Missouri,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Small
35,19581,61,32,27,0,1,Nebraska,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Hail,Call Center,Four-Door Car,Medsize
32,99517,109,2,93,0,3,Missouri,No,Premium,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Personal L2,Hail,Agent,Four-Door Car,Medsize
2,0,73,21,87,0,4,Nebraska,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Small
28,55561,63,2,79,0,2,Kansas,No,Basic,High School or Below,Employed,M,Urban,Divorced,Personal Auto,Personal L2,Collision,Call Center,Four-Door Car,Medsize
30,88997,72,9,71,0,3,Nebraska,Yes,Basic,Master,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Small
15,0,111,1,72,0,2,Missouri,No,Basic,College,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L2,Collision,Branch,Sports Car,Small
18,36881,104,5,25,0,3,Nebraska,No,Basic,High School or Below,Employed,M,Suburban,Married,Special Auto,Special L3,Collision,Agent,SUV,Medsize
34,26318,96,23,29,0,1,Iowa,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L1,Hail,Call Center,Two-Door Car,Medsize
34,0,68,0,48,1,5,Iowa,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Collision,Call Center,Four-Door Car,Medsize
15,54408,79,29,17,0,4,Iowa,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Hail,Branch,Four-Door Car,Medsize
31,80797,64,21,47,0,9,Missouri,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Hail,Web,Four-Door Car,Small
8,83926,181,31,88,0,1,Iowa,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L1,Scratch/Dent,Agent,Luxury Car,Medsize
18,79751,63,15,67,0,1,Iowa,Yes,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Web,Two-Door Car,Small
48,30817,88,25,43,0,1,Oklahoma,Yes,Extended,Doctor,Employed,M,Rural,Divorced,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Medsize
51,26691,65,7,51,0,1,Missouri,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Four-Door Car,Large
17,49367,63,16,40,0,9,Kansas,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
58,21726,104,20,79,0,8,Oklahoma,No,Basic,Doctor,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Hail,Branch,SUV,Medsize
32,31617,62,17,29,1,1,Missouri,No,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Small
56,43461,64,24,47,0,6,Missouri,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Large
12,56005,68,31,30,1,3,Oklahoma,Yes,Basic,Master,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Collision,Branch,Four-Door Car,Small
37,87421,99,21,6,0,6,Missouri,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Collision,Branch,Two-Door Car,Medsize
41,0,108,7,55,0,1,Missouri,No,Premium,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Collision,Agent,Two-Door Car,Medsize
19,0,116,24,90,0,9,Nebraska,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Hail,Branch,SUV,Medsize
40,44428,104,17,61,0,2,Missouri,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Call Center,SUV,Medsize
52,0,66,16,35,4,1,Iowa,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Small
55,71499,112,25,61,0,5,Missouri,No,Basic,Master,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Scratch/Dent,Agent,Sports Car,Small
36,92509,71,16,43,0,8,Missouri,No,Basic,Doctor,Employed,F,Rural,Married,Personal Auto,Personal L2,Scratch/Dent,Agent,Four-Door Car,Medsize
35,55390,71,34,29,0,2,Nebraska,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Scratch/Dent,Branch,Two-Door Car,Medsize
11,25634,67,12,53,0,2,Iowa,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Other,Call Center,Four-Door Car,Medsize
37,31710,62,5,29,0,1,Missouri,No,Basic,Bachelor,Employed,M,Urban,Divorced,Corporate Auto,Corporate L3,Collision,Call Center,Two-Door Car,Medsize
26,0,70,5,70,2,1,Oklahoma,No,Basic,Master,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Other,Branch,Two-Door Car,Medsize
1,55257,64,0,77,3,1,Iowa,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Two-Door Car,Medsize
23,40783,67,13,43,1,9,Kansas,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L1,Collision,Call Center,Four-Door Car,Medsize
5,26436,83,0,10,0,5,Nebraska,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Small
34,40417,71,34,4,1,8,Iowa,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Four-Door Car,Large
38,48473,63,1,73,0,1,Missouri,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
2,21033,118,5,22,0,8,Nebraska,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L1,Scratch/Dent,Call Center,Two-Door Car,Small
19,0,70,13,8,0,3,Kansas,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Collision,Branch,Two-Door Car,Medsize
21,68997,63,3,26,0,2,Missouri,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Personal L2,Hail,Agent,Four-Door Car,Large
14,0,74,19,11,1,3,Missouri,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
40,40269,193,32,27,0,3,Iowa,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L1,Scratch/Dent,Agent,Luxury SUV,Small
0,0,79,21,53,1,7,Iowa,Yes,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Collision,Agent,Two-Door Car,Medsize
24,62902,69,14,94,0,2,Iowa,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Medsize
23,0,64,35,59,0,1,Missouri,No,Basic,Master,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,Scratch/Dent,Agent,Four-Door Car,Medsize
44,44698,211,0,88,4,1,Iowa,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Collision,Call Center,Luxury Car,Medsize
7,54314,66,13,98,0,1,Kansas,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Medsize
4,23867,65,6,99,0,1,Iowa,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Scratch/Dent,Call Center,Four-Door Car,Medsize
43,0,67,0,71,1,3,Iowa,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Scratch/Dent,Call Center,Four-Door Car,Medsize
25,0,67,18,44,0,3,Oklahoma,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
14,0,66,8,11,0,1,Nebraska,No,Basic,Master,Unemployed,M,Rural,Married,Personal Auto,Personal L1,Other,Branch,Two-Door Car,Medsize
36,0,66,23,1,0,1,Iowa,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
36,17157,123,33,15,0,2,Nebraska,No,Extended,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,SUV,Small
47,39854,66,6,4,0,7,Missouri,Yes,Basic,Bachelor,Employed,F,Urban,Divorced,Corporate Auto,Corporate L2,Hail,Web,Two-Door Car,Medsize
49,0,95,19,41,1,9,Iowa,No,Extended,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Collision,Web,Four-Door Car,Medsize
15,23656,80,11,1,3,1,Kansas,No,Extended,Bachelor,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Hail,Branch,Four-Door Car,Medsize
30,0,70,24,10,0,1,Missouri,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Collision,Branch,Four-Door Car,Medsize
45,46971,69,26,21,0,3,Missouri,No,Basic,College,Employed,M,Rural,Married,Corporate Auto,Corporate L3,Collision,Agent,Four-Door Car,Large
2,58842,110,6,74,0,1,Kansas,Yes,Premium,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Hail,Branch,Four-Door Car,Medsize
16,0,61,11,6,1,1,Iowa,No,Basic,Bachelor,Unemployed,F,Rural,Divorced,Corporate Auto,Corporate L2,Collision,Web,Four-Door Car,Medsize
56,40564,97,0,36,0,2,Iowa,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Personal L2,Other,Call Center,Four-Door Car,Small
42,0,79,17,4,0,3,Iowa,No,Extended,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L1,Collision,Call Center,Four-Door Car,Large
55,79719,71,12,87,0,6,Missouri,No,Basic,Doctor,Employed,F,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Small
36,0,68,6,25,0,2,Nebraska,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Call Center,Four-Door Car,Medsize
48,48029,61,7,52,0,9,Nebraska,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Scratch/Dent,Agent,Four-Door Car,Medsize
3,56718,113,7,95,1,1,Oklahoma,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Collision,Call Center,SUV,Medsize
16,29462,107,28,23,1,1,Iowa,Yes,Basic,Master,Employed,F,Suburban,Single,Personal Auto,Personal L2,Hail,Branch,SUV,Large
51,42142,112,1,8,0,3,Iowa,No,Basic,Master,Employed,F,Urban,Single,Personal Auto,Personal L3,Other,Branch,Sports Car,Medsize
31,0,62,1,64,0,3,Kansas,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Collision,Agent,Two-Door Car,Medsize
28,0,187,1,7,0,2,Missouri,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Collision,Agent,Luxury Car,Large
7,96689,103,34,80,0,5,Iowa,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L2,Collision,Agent,Sports Car,Medsize
44,22514,80,22,96,0,2,Kansas,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Hail,Call Center,Four-Door Car,Medsize
31,31278,92,24,95,4,1,Missouri,Yes,Extended,Doctor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Branch,Two-Door Car,Medsize
39,62777,67,34,32,0,1,Kansas,No,Basic,High School or Below,Employed,M,Rural,Single,Personal Auto,Personal L1,Other,Agent,Two-Door Car,Medsize
38,55687,276,33,91,0,1,Missouri,Yes,Premium,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L3,Collision,Agent,Luxury SUV,Medsize
55,0,69,16,45,0,6,Nebraska,No,Basic,College,Unemployed,M,Rural,Married,Personal Auto,Personal L1,Scratch/Dent,Agent,Two-Door Car,Medsize
41,0,65,5,59,1,1,Missouri,No,Basic,College,Unemployed,F,Urban,Married,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
49,0,108,25,82,1,4,Oklahoma,No,Premium,Bachelor,Unemployed,M,Suburban,Single,Special Auto,Special L2,Hail,Branch,Two-Door Car,Medsize
13,31678,63,7,3,0,1,Nebraska,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Hail,Branch,Two-Door Car,Medsize
51,82695,62,10,39,0,1,Iowa,No,Basic,Bachelor,Employed,M,Urban,Divorced,Personal Auto,Personal L2,Scratch/Dent,Web,Four-Door Car,Medsize
13,70725,70,2,0,0,2,Nebraska,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Hail,Web,Four-Door Car,Medsize
46,93303,65,11,96,0,5,Iowa,No,Basic,College,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Medsize
8,22044,65,35,70,0,2,Missouri,No,Basic,Bachelor,Disabled,F,Rural,Divorced,Corporate Auto,Corporate L1,Collision,Agent,Four-Door Car,Large
8,84658,62,21,93,0,1,Missouri,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L1,Collision,Branch,Four-Door Car,Medsize
41,44341,105,15,56,0,2,Missouri,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L2,Collision,Agent,Sports Car,Medsize
0,61080,66,7,41,2,9,Iowa,No,Basic,High School or Below,Employed,F,Urban,Single,Personal Auto,Personal L3,Collision,Call Center,Four-Door Car,Medsize
46,25302,70,13,16,1,2,Nebraska,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L1,Hail,Branch,Four-Door Car,Medsize
25,0,93,7,90,1,5,Kansas,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Small
18,0,122,27,2,0,1,Missouri,Yes,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Hail,Agent,SUV,Medsize
51,69853,114,15,42,2,3,Missouri,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L1,Collision,Call Center,SUV,Medsize
27,58542,114,29,82,0,2,Iowa,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Branch,SUV,Medsize
33,97131,64,5,80,0,6,Kansas,Yes,Basic,Master,Employed,F,Suburban,Married,Personal Auto,Personal L1,Hail,Agent,Four-Door Car,Small
14,25905,63,21,12,0,1,Iowa,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Large
38,31196,62,26,57,4,9,Missouri,No,Basic,High School or Below,Employed,M,Suburban,Single,Corporate Auto,Corporate L1,Collision,Web,Two-Door Car,Small
29,14254,124,21,16,0,1,Iowa,No,Extended,High School or Below,Disabled,F,Suburban,Married,Corporate Auto,Corporate L1,Scratch/Dent,Branch,SUV,Large
15,79487,114,20,87,0,1,Missouri,Yes,Basic,Master,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Hail,Branch,SUV,Medsize
4,0,61,12,77,0,2,Nebraska,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Medsize
4,78804,71,35,93,0,2,Oklahoma,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Four-Door Car,Medsize
34,37449,111,18,69,1,2,Kansas,No,Premium,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L3,Scratch/Dent,Branch,Four-Door Car,Medsize
44,12902,139,3,51,0,1,Oklahoma,Yes,Extended,College,Retired,F,Suburban,Divorced,Corporate Auto,Corporate L2,Collision,Agent,Sports Car,Medsize
7,65348,110,35,58,0,2,Nebraska,No,Basic,High School or Below,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Collision,Branch,Sports Car,Medsize
23,0,129,15,42,0,3,Iowa,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Scratch/Dent,Call Center,SUV,Medsize
40,84491,110,0,0,0,1,Oklahoma,No,Basic,Master,Employed,M,Rural,Single,Personal Auto,Personal L1,Other,Agent,SUV,Medsize
9,83879,69,3,66,0,2,Iowa,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
2,0,80,24,95,0,1,Iowa,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Collision,Call Center,Four-Door Car,Medsize
5,19447,89,6,6,0,1,Iowa,No,Extended,High School or Below,Disabled,M,Suburban,Married,Corporate Auto,Corporate L3,Hail,Call Center,Four-Door Car,Medsize
58,29950,61,0,76,0,4,Missouri,No,Basic,Doctor,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Collision,Call Center,Two-Door Car,Medsize
34,0,64,26,72,0,2,Iowa,No,Basic,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Collision,Web,Four-Door Car,Medsize
40,83413,118,0,1,0,1,Missouri,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Web,SUV,Medsize
35,74454,71,25,29,0,3,Nebraska,Yes,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L3,Hail,Call Center,Four-Door Car,Medsize
27,63401,113,21,15,0,2,Nebraska,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,SUV,Medsize
54,39778,112,23,49,0,2,Iowa,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Call Center,SUV,Medsize
1,63834,100,23,19,1,3,Iowa,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,Personal L3,Other,Agent,Sports Car,Small
1,17622,65,1,36,1,3,Missouri,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
39,18606,110,12,45,1,1,Iowa,No,Basic,High School or Below,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,SUV,Medsize
6,58488,73,29,15,2,2,Missouri,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Small
41,0,62,5,54,0,1,Oklahoma,No,Basic,College,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Collision,Agent,Two-Door Car,Medsize
38,0,73,18,45,0,5,Nebraska,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Collision,Call Center,Four-Door Car,Medsize
30,76358,66,25,3,0,2,Iowa,Yes,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L1,Scratch/Dent,Agent,Four-Door Car,Medsize
27,94903,94,3,38,0,1,Nebraska,Yes,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Hail,Agent,Two-Door Car,Small
49,55289,67,10,71,0,3,Nebraska,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
28,53357,73,4,77,0,1,Missouri,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Hail,Call Center,Four-Door Car,Medsize
53,52266,68,14,98,0,1,Nebraska,No,Basic,College,Employed,F,Rural,Single,Corporate Auto,Corporate L1,Collision,Call Center,Two-Door Car,Medsize
46,48245,121,16,21,3,2,Iowa,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
35,68899,74,6,60,0,1,Missouri,No,Basic,Bachelor,Employed,F,Rural,Single,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Medsize
21,0,63,21,27,0,4,Missouri,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Scratch/Dent,Branch,Four-Door Car,Small
3,53133,91,11,6,0,9,Iowa,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Hail,Agent,Two-Door Car,Small
51,0,73,17,44,0,7,Iowa,Yes,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Call Center,Two-Door Car,Medsize
18,24224,71,7,64,0,1,Iowa,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Hail,Call Center,Two-Door Car,Small
56,0,85,7,6,0,2,Missouri,No,Extended,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Personal L2,Other,Call Center,Two-Door Car,Medsize
51,0,71,31,70,0,3,Oklahoma,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Medsize
47,91368,71,13,95,0,1,Oklahoma,No,Basic,Master,Employed,F,Suburban,Divorced,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Large
13,20090,109,10,59,0,2,Nebraska,Yes,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Hail,Agent,Sports Car,Medsize
14,32906,115,18,17,0,1,Nebraska,No,Basic,Master,Employed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Branch,SUV,Medsize
40,44428,104,17,61,0,2,Iowa,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Corporate Auto,Corporate L1,Collision,Call Center,SUV,Medsize
58,26277,61,17,30,0,4,Iowa,No,Basic,College,Employed,F,Suburban,Single,Personal Auto,Personal L2,Scratch/Dent,Branch,Four-Door Car,Medsize
18,79751,63,15,67,0,1,Missouri,Yes,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Web,Two-Door Car,Small
43,43490,114,24,63,4,6,Iowa,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Collision,Call Center,SUV,Medsize
58,0,79,5,62,0,7,Kansas,No,Extended,Bachelor,Unemployed,M,Suburban,Divorced,Special Auto,Special L2,Hail,Web,Four-Door Car,Small
14,0,110,7,90,0,5,Missouri,No,Premium,Master,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Medsize
44,82399,77,18,15,3,9,Missouri,No,Extended,College,Employed,F,Rural,Single,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
22,83771,133,26,18,0,1,Nebraska,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Other,Web,Sports Car,Medsize
28,33818,72,6,34,4,3,Iowa,No,Basic,High School or Below,Employed,M,Urban,Single,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Large
13,60477,65,12,38,0,1,Missouri,No,Basic,High School or Below,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Hail,Agent,Four-Door Car,Medsize
9,61040,78,21,9,0,9,Missouri,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Medsize
7,20597,112,31,46,0,1,Missouri,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Hail,Agent,Four-Door Car,Medsize
38,38055,64,7,24,1,8,Oklahoma,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L3,Other,Call Center,Two-Door Car,Medsize
57,38873,92,6,33,0,2,Nebraska,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Personal L2,Hail,Branch,Two-Door Car,Medsize
37,95191,101,6,15,0,3,Nebraska,No,Premium,High School or Below,Employed,M,Urban,Divorced,Corporate Auto,Corporate L2,Hail,Agent,Four-Door Car,Medsize
38,10211,119,7,16,0,7,Missouri,No,Basic,Master,Medical Leave,F,Suburban,Divorced,Personal Auto,Personal L2,Scratch/Dent,Branch,SUV,Medsize
38,0,65,34,84,0,1,Nebraska,No,Basic,College,Unemployed,F,Rural,Married,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Large
58,29105,117,28,31,0,1,Missouri,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Branch,Sports Car,Medsize
21,58194,84,26,23,0,2,Oklahoma,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Small
35,88782,78,6,38,0,1,Iowa,No,Extended,College,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Other,Web,Four-Door Car,Large
56,73935,64,13,29,1,1,Oklahoma,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Other,Call Center,Four-Door Car,Medsize
22,63035,153,20,97,0,2,Iowa,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
18,64669,131,22,32,0,6,Iowa,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Other,Call Center,Sports Car,Small
4,0,133,18,2,0,1,Iowa,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Web,SUV,Medsize
53,54483,61,6,57,0,1,Nebraska,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L1,Scratch/Dent,Call Center,Two-Door Car,Medsize
16,85751,93,6,3,0,1,Iowa,No,Extended,Master,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Hail,Agent,Four-Door Car,Medsize
24,53333,66,4,34,0,1,Iowa,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L1,Hail,Branch,Two-Door Car,Medsize
